Header
Type: MAIN
Sensors: 15
Actions: 14
SensorNames: DIST_TO_WATER DIST_TO_STORAGE DIST_TO_WILD_FOOD DIST_TO_GAME DIST_TO_FISH THIRST HUNGER AQUA_IN_WATER NUTRITION_IN_STORAGE NUTRITION_IN_WILD_FOOD NUTRITION_IN_GAME NUTRITION_IN_FISH NUTRITION_IN_PERSONAL_STORAGE AQUA_IN_PERSONAL_STORAGE AQUA_IN_STORAGE
ActionNames: EAT DRINK_STORAGE DRINK_LAKE SLEEP GATHER_WATER GATHER_FISH GATHER_NUTS GATHER_BERRIES HUNT WALK_RANDOM RUN WALK_DIRECTION_WATER WALK_DIRECTION_WOOD WALK_DIRECTION_FISH
EndHeader
-0.9950052293665157 0.9950052293665157 -0.9950052293665157 -0.9950052293665157 0.9950052293665157 -0.49026843922421814 -0.6061263458860844 0.9950052293665157 0.8358908493608601 0.9950052293665157 0.9950052293665157 -0.979503790528834 0.9950052293665157 0.9950052293665157 0.6275256644195902
0.9859304276083498 0.985665569124843 0.8272750947119083 -0.2611778975829249 -0.9950052293665157 0.9950052293665157 -0.8553482757698492 0.5798832130891228 0.9950052293665157 -0.31408960238878214 -0.9950052293665157 0.9950052293665157 -0.9950052293665157 0.9950052293665157 -0.2955980530260807
0.9950052293665157 0.8657127977914258 0.9950052293665157 -0.4615899789151091 0.0390759772620636 0.27044360298152564 -0.9874347601130201 0.42414999415783605 0.25504294655408505 -0.9834765759349209 0.21838796116926368 -0.9770870994288088 0.9950052293665157 -0.801419894950334 0.9950052293665157
0.6998826271541032 -0.9950052293665157 -0.799777509812051 -0.1488086658514015 0.7974542905942458 -0.9950052293665157 -0.9934829242040574 -0.9613609915794639 0.4889924068916214 0.9950052293665157 0.34838114491534083 0.9950052293665157 -0.6965934273464628 0.8549261757772234 0.4866769405283722
-0.9950052293665157 -0.02700278078324892 0.5014600579190907 -0.9950052293665157 -0.9950052293665157 -0.8374948661759682 -0.9507603130699257 0.9950052293665157 -0.8190425855124643 0.9950052293665157 -0.5821680348538445 -0.887980511001508 -0.6607138101738314 0.9696158510743165 0.5803019170138071
-0.9950052293665157 0.8979395434090942 -0.6899141262797998 -0.9950052293665157 -0.9625144022361823 0.9950052293665157 -0.9950052293665157 -0.9950052293665157 -0.9909398145357432 -0.9451621783655444 -0.9950052293665157 -0.9932604329151223 0.9936690828023865 0.9950052293665157 -0.8975713950745777
0.9950052293665157 0.9541870482970628 0.9900953087870255 0.9220160367434856 -0.9950052293665157 -0.03034746489647543 0.9950052293665157 -0.9950052293665157 -0.6433166796650889 -0.9022103390359268 0.937018359690662 0.2060147505408857 -0.9950052293665157 0.6559585495734249 0.8087994379676087
0.9950052293665157 -0.35976631657777114 0.006109826168216883 0.30744022431464757 -0.9950052293665157 0.9708894128741435 0.9950052293665157 -0.4563195904378368 0.5985646000959871 -0.6658081963717576 -0.9950052293665157 -0.7036908228704901 -0.009784530823383344 0.9950052293665157 0.7998104604854299
0.9950052293665157 -0.9950052293665157 0.5016063690229926 -0.38439912409102395 0.9950052293665157 0.9950052293665157 -0.8697656460453466 -0.9949220760056539 0.9950052293665157 -0.7964356107240058 -0.9950052293665157 0.16740802039571637 -0.8814941057231465 0.886533966199049 -0.37445305957553116
0.9950052293665157 0.42355154788705535 -0.759974957753455 0.848285695351273 0.15953754041700569 -0.9950052293665157 -0.8877615411774674 -0.8066850457187513 0.9950052293665157 -0.9950052293665157 0.9950052293665157 0.241317994539205 -0.25440526308719075 -0.35287693671168835 0.9950052293665157
0.9950052293665157 -0.4924789162200612 0.9950052293665157 -0.9888337220822092 0.9844289660037687 -0.9950052293665157 -0.9950052293665157 0.9950052293665157 0.9950052293665157 -0.15332708905248507 0.9950052293665157 0.4712008689205327 -0.8394931565398437 0.9911890343936336 0.9698980883739319
-0.4271423438998993 -0.8626550173077938 -0.7772610411077413 -0.7540151268412781 0.9950052293665157 0.9950052293665157 -0.9950052293665157 -0.9950052293665157 0.6606560545601246 -0.24605393277146076 -0.780345368110465 -0.3861009342428287 -0.9950052293665157 0.9854757247188222 -0.9315472278570238
0.9950052293665157 -0.6414946766872689 0.8136232647043327 -0.26976339266986776 -0.8588864754646546 0.9950052293665157 0.44519811430332723 0.9950052293665157 -0.696319227695385 -0.981511963044747 -0.9950052293665157 0.9886023788676463 -0.2354638603786764 0.7796739142028957 -0.41662236939404396
0.9950052293665157 0.9950052293665157 0.9950052293665157 -0.9188983548352099 -0.7288326568677714 -0.9950052293665157 -0.9943351240421463 0.9950052293665157 -0.10677108810108993 -0.6402988690236271 0.08289454940088398 -0.9950052293665157 -0.9950052293665157 0.9950052293665157 0.7383643041933065
